cohort.a	cohort.b
123.576878292527	124.801167391248
125.085976652362	125.696649800903
125.387172597659	122.840229969166
126.135995028428	125.012027726684
126.382311646315	125.620226688926
125.708767251332	126.118776029937
125.293672178434	124.974763729188
123.685713023091	124.979383577526
124.975837356599	126.165143010785
125.88604130644	126.409187584501
125.718422856521	123.889951675504
125.300611247909	128.654246662141
123.5374389052	125.780587012393
125.230278044995	126.991098789186
125.082943486709	125.212054533446
123.995330285232	125.279967721414
124.390646283083	126.093121556928
126.774322721358	124.911982428193
124.744401564456	124.148210825038
124.791033972072	124.094079241446
125.447763944294	126.634675064414
124.117321669688	125.62106179116
124.982287966901	124.328037493079
124.566443197067	126.022824073213
127.438698394148	124.326446814879
125.465031560201	124.177925775751
123.60004866893	126.827003051025
125.024307692128	125.869107286317
125.662552325904	124.07172121737
123.898053424916	125.094390562934
123.062378140087	123.772154434196
124.411077206562	124.643478908655
124.817258602441	124.916459038044
126.19366582505	127.199112553576
124.23058690474	124.415263947991
123.655077669738	125.227877949946
126.126337799714	126.286930002528
124.838386711509	125.068598761678
123.706221705396	125.186602873604
123.980424155437	123.134799454466
124.689928558475	124.802849972526
124.766084004659	125.453304883726
124.115625283089	126.206009921406
125.330574837775	124.199249923968
124.369320473685	123.327321522783
125.171029280659	126.310641452042
125.111769853658	125.243044665892
123.858347328632	126.680119127029
125.303122034992	123.733787196496
125.309410224059	126.492784133414
124.379634852372	124.663829259972
124.765814454779	126.217947514986
126.045122613207	124.650536947438
127.25539927873	122.806623322861
124.367151213689	125.372206388615
124.679022268412	125.6878762532
124.572288842268	128.840508502591
125.490894565498	123.845574672714
124.65382948251	124.492717698986
127.530033169998	126.045368659792
125.15696051089	125.155642624251
124.758554924185	125.27805069514
124.337863292118	125.856641017854
125.537100148038	123.720424222749
126.728576205324	126.396824469558
126.643974089799	123.591121644256
124.338601028798	125.587588853845
125.3274577661	125.569537538877
124.798145008346	123.6385871747
124.003585795745	125.307710780628
124.707303721229	125.579297621842
124.103287183564	125.904950460855
122.443660161843	124.059662421312
124.460931108699	126.150312164645
123.857569902662	125.108358042775
124.259342772672	125.629692239464
125.208053998685	124.676451556341
126.784160153243	125.554328161478
123.625932892465	125.637169655203
125.3413113325	127.322974368216
125.733075673018	125.766296572743
124.806903802064	124.940630487295
124.622923457929	125.718245032741
123.875186839929	127.599927398682
125.483425797973	124.078586677605
125.718793413185	125.119456492965
128.359506822098	125.401590832558
124.415480200458	126.700733676159
123.56675384737	127.963440215083
123.725445652009	125.03198989727
126.94511752612	126.458290323806
123.898062470508	124.409788250656
123.822579296198	127.393600311821
126.167274598677	125.353896466699
123.935632220071	126.147460115182
124.623706654438	125.780907752625
124.727692746984	124.190240084565
124.852933859959	126.237818393264
126.388085092503	125.279461081432
125.823815843551	127.35333079873
124.95795946642	125.29173418585
123.872946670465	125.619057168998
126.834055099225	125.655345128972
125.371418981255	125.790815990686
124.08163474783	125.819349604965
125.363801635629	124.73242745499
124.760373825003	124.814100084822
123.373560626361	126.137781376128
124.928933880199	125.062318973788
124.014350152063	128.04217716571
124.322160785484	124.1957982362
125.289831943858	124.440063314771
123.111826520427	125.071673195758
124.999885228393	125.171177106607
125.949850991839	126.221304904285
125.136287000408	124.356413602292
124.532606018037	125.546314127161
123.871328700717	125.322985425108
125.858329875714	126.4466609873
124.46413519468	126.505207000754
127.112468075188	123.782749223095
124.947539906138	125.499316164278
126.357524382755	125.608363943376
125.954962792708	127.395492698769
123.938441506811	125.484154890858
125.785035142893	125.004477561862
125.293846602548	127.096177657796
124.579180388911	125.739437147481
124.013214750603	127.204512847377
124.317908614049	124.295322022507
124.963593913036	124.626459870609
125.211523609701	126.019468330195
